id,chapter,start,end,text
ts0238,7,150.93,155.22,A Marina tem um colar ao pescoço.
ts0239,7,156.21,159.06,Ela mostra o colar.
ts0240,7,160.05,162.0,Estás a ver?
ts0241,7,162.96,164.73,O que é isto?
ts0242,7,165.33,168.24,Isto é uma medalha.
ts0243,7,168.24,172.38,É antiga e tem uma imagem.
ts0244,7,173.16,175.56,É muito bonita.
ts0245,7,175.98,179.22,Mas qual é o problema?
ts0246,7,179.91,183.87,Esta medalha guarda um segredo.
ts0247,7,184.05,186.34,Qual é o segredo?
ts0248,7,186.34,188.25,Eu não sei...
ts0249,7,188.34,191.34,Este segredo é complicado.
ts0250,7,191.61,194.79,Eu preciso de ajuda.
ts0251,7,195.51,199.77,Eu conheço um historiador em Évora.
ts0252,7,200.13,203.07,Ele pode ajudar.
ts0253,8,9.45,14.67,O Ricardo e a Marina dão um passeio na praia.
ts0254,8,15.36,20.46,A Marina fica longe da água porque tem medo.
ts0255,8,21.51,24.06,É uma hora da tarde.
ts0256,8,24.06,26.58,Eles têm fome.
ts0257,8,27.54,31.56,O que é isso? — pergunta o Ricardo.
ts0258,8,32.52,36.42,Ele aponta para o pescoço da Marina.
ts0259,8,37.14,42.18,Isto? — pergunta a Marina a tocar no colar.
ts0260,8,42.57,45.18,Isto é um colar.
ts0261,8,46.17,49.86,A Marina não quer mostrar o colar.
ts0262,8,50.61,54.42,Esse colar é muito bonito?
ts0263,8,54.84,56.04,Não.
ts0264,8,56.04,59.61,Este colar é muito simples.
ts0265,8,59.61,62.05,Só tem uma medalha.
ts0266,8,62.05,64.41,Essa medalha é valiosa?
ts0267,8,64.53,69.0,"Não, esta medalha só tem valor pessoal."
ts0268,8,69.0,71.61,Tenho fome.
ts0269,8,72.06,75.51,Vamos almoçar?
ts0270,8,75.96,77.49,Claro.
ts0271,8,77.7,84.69,Eu quero comer marisco e beber vinho branco! — diz ele.
ts0272,8,84.69,91.68,"O Ricardo parece feliz, mas não está satisfeito."
ts0273,9,4.02,9.24,O João olha para os livros nas estantes.
ts0274,9,9.69,13.98,"Há livros de história, arte e ciência."
ts0275,9,14.67,19.29,Também há livros de literatura e poesia.
ts0276,9,19.98,23.37,Alguém gosta muito de ler.
ts0277,9,24.24,27.0,O João ouve um barulho.
ts0278,9,27.57,31.23,A porta da sala está a abrir.
ts0279,9,31.71,34.86,Alguém entra na sala.
ts0280,9,35.91,41.7,"Parece uma mulher, mas tem uma máscara na cara."
ts0281,9,42.6,44.43,Eu sou o João.
ts0282,9,44.97,49.17,Onde é que eu estou? — pergunta o João.
ts0283,9,50.01,52.98,A mulher não responde.
ts0284,9,53.7,60.27,Ela anda até a uma estante de livros e pega num livro.
ts0285,9,61.17,64.83,O que é isso? — pergunta o João.
ts0286,9,65.85,73.23,Isto é um livro. — responde a mulher misteriosa.
ts0287,9,74.19,79.29,Este livro é muito interessante.
ts0288,9,80.1,82.11,Que livro é?
ts0289,9,82.23,88.32,O livro chama-se “A curiosidade matou o gato”.
ts0290,9,89.4,93.33,Isso é mesmo muito interessante.
ts0291,9,93.66,97.03,Mas onde é que eu estou?
ts0292,9,97.03,100.02,Eu quero sair daqui.
ts0293,9,100.98,106.14,"Não deve ser tão curioso, João."
ts0294,9,106.14,110.28,A mulher dá o livro ao João.
ts0295,9,110.94,114.03,Ele pega no livro.
ts0296,9,114.6,117.99,Devia ler este livro.
ts0297,9,118.53,123.72,Porque é que eu devia ler este livro?
ts0298,9,124.41,130.5,Porque o João também é muito curioso.
ts0299,9,130.8,133.95,E isso é perigoso.
ts0300,10,4.05,9.33,Um guarda empurra o João e saem da sala.
ts0301,10,9.93,17.43,Eles passam num corredor escuro e entram numa sala redonda.
ts0302,10,18.27,26.25,Este lugar é secreto e o segredo não pode sair daqui.
ts0303,10,27.03,35.07,"Por isso, o João também não pode sair daqui. — diz a mulher."
ts0304,10,36.03,40.44,No meio da sala há um poço com água.
ts0305,10,40.8,43.29,A água é escura.
ts0306,10,44.34,51.24,O que é que eu estou aqui a fazer? — pergunta o João.
ts0307,10,52.2,55.29,Ele olha para o poço.
ts0308,10,55.71,59.1,Há qualquer coisa na água.
ts0309,10,59.55,64.23,Parece uma cobra gigante.
ts0310,10,64.23,68.25,A cobra olha para o João e abre a boca.
ts0311,10,69.18,72.36,O guarda empurra o João.
ts0312,10,73.08,78.25,Tem de saltar para a água. — diz o guarda.
